agency,linked_goals,linked_goal_labels,lead_or_support,summary,responsibility_keywords
IEMA-OHS,"Goal 1; Goal 2; Goal 3; Goal 4","Life Safety & Preparedness; Risk Reduction & Resilient Infrastructure; Coordination, Capacity & Data Systems; Public Education & Outreach","Lead and Support","Main coordinating agency across preparedness, mitigation funding, technical assistance, local planning, public outreach, NFIP support, state facility risk data, HAZUS/risk assessment, and plan maintenance.","preparedness; funding; technical assistance; local planning; outreach; NFIP; HAZUS; state facilities"
IMAG,"Goal 3; Goal 4","Coordination, Capacity & Data Systems; Public Education & Outreach","Lead and Support","Interagency coordination, plan review, outreach strategy, mitigation involvement by state agencies, and annual review of plan progress.","coordination; plan review; outreach; annual review; agency participation"
IDNR/OWR,"Goal 2; Goal 3; Goal 4","Risk Reduction & Resilient Infrastructure; Coordination, Capacity & Data Systems; Public Education & Outreach","Lead and Support","Floodplain management, NFIP/non-NFIP technical assistance, repetitive loss support, flood mitigation projects, flood protection standards, and support for HAZUS/flood data.","floodplain; NFIP; repetitive loss; flood mitigation; standards; technical assistance"
ISWS,"Goal 2; Goal 3","Risk Reduction & Resilient Infrastructure; Coordination, Capacity & Data Systems","Support","Modeling, LiDAR/data support, HAZUS/risk assessment support, climate/water science support, and State Water Plan-related mitigation coordination.","LiDAR; modeling; HAZUS; risk assessment; climate; water science"
CMS,"Goal 1; Goal 3","Life Safety & Preparedness; Coordination, Capacity & Data Systems","Support","State facility database, state-controlled building/facility risk data, safe-room/wind refuge coordination, and state facility mitigation support.","state facilities; GIS database; safe room; wind refuge; buildings"
DCEO,"Goal 1; Goal 2; Goal 3; Goal 4","Life Safety & Preparedness; Risk Reduction & Resilient Infrastructure; Coordination, Capacity & Data Systems; Public Education & Outreach","Support","Community assistance, business/economic recovery support, grant/funding coordination, vulnerable population assistance, and outreach support.","community assistance; recovery; funding; vulnerable populations; outreach"
IDOT,"Goal 3","Coordination, Capacity & Data Systems","Support","State infrastructure/facility coordination, technical/engineering support, and support for state facility/resilience databases.","infrastructure; engineering; facilities; resilience"
IDOI/DOI,"Goal 1; Goal 2; Goal 4","Life Safety & Preparedness; Risk Reduction & Resilient Infrastructure; Public Education & Outreach","Support","Insurance-related mitigation outreach, NFIP/flood insurance training, public insurance education, and consumer/agent mitigation information.","insurance; NFIP training; outreach; consumers; agents"
NWS,"Goal 1; Goal 4","Life Safety & Preparedness; Public Education & Outreach","Support","Weather awareness, warning systems, StormReady/Weather-Ready Nation support, hazard awareness days, and public education.","weather awareness; warnings; StormReady; Weather-Ready Nation; education"
ARC,"Goal 1; Goal 4","Life Safety & Preparedness; Public Education & Outreach","Support","Public preparedness, smoke/carbon monoxide detector awareness, outreach, and household/community resilience support.","preparedness; detectors; outreach; household resilience"
IESMA,"Goal 1; Goal 3","Life Safety & Preparedness; Coordination, Capacity & Data Systems","Support","Local emergency management coordination, local hazard mitigation plan outreach, and preparedness/mitigation support.","local emergency management; local plans; preparedness"
University of Illinois Extension,"Goal 3; Goal 4","Coordination, Capacity & Data Systems; Public Education & Outreach","Support","Disaster education, local/community outreach, agricultural disaster education, Extension programming, and public mitigation education.","extension; public education; agriculture; outreach; local programming"
IDPH,"Goal 3; Goal 4","Coordination, Capacity & Data Systems; Public Education & Outreach","Support","Public health coordination, extreme heat/cold outreach, vulnerable population support, and State Water Plan/IMAG-related support.","public health; heat; cold; vulnerable populations; coordination"
IDHS,"Goal 4","Public Education & Outreach","Support","Restricted-income energy assistance and support for extreme heat/cold protective measures.","energy assistance; heat; cold; restricted income"
IEPA,"Goal 3","Coordination, Capacity & Data Systems","Support","State Water Plan and interagency coordination, environmental/resilience support, and state facility/flood-related support.","environment; State Water Plan; interagency coordination; resilience"
IDOA,"Goal 3","Coordination, Capacity & Data Systems","Support","Agricultural disaster declarations, farm-related situational awareness, State Water Plan coordination, and agricultural resilience.","agriculture; disaster declarations; farm services; State Water Plan"
CDB,"Goal 2; Goal 3","Risk Reduction & Resilient Infrastructure; Coordination, Capacity & Data Systems","Support","Building-code/facility support, NFIP/flood insurance support, construction/recovery planning, and hazard-resistant construction coordination.","building codes; facilities; construction; NFIP; recovery"
ICC,"Goal 3","Coordination, Capacity & Data Systems","Support","Infrastructure/facility coordination and support for state facility risk database actions.","infrastructure; facilities; risk database"
IHPA/SHPO,"Goal 3","Coordination, Capacity & Data Systems","Support","Historic structure mitigation, floodplain/elevation review, artifact/document storage guidance, and preservation-related resilience.","historic preservation; floodplain; elevations; artifacts; mitigation"
SBA,"Goal 3","Coordination, Capacity & Data Systems","Support","Business-related recovery planning and mitigation information for vulnerable/business areas.","business recovery; mitigation information; vulnerable business areas"
